N,J,Jz,boundary_conditions,magnetization,algorithm,eigvec_entanglement_mean,eigvec_entanglement_std,num_states_per_rd_instance,num_rd_instances
14,0.25238,0.33318,PBC,0.0,POLFED,3.646741565991329,0.0,343,1
14,0.01,0.37357,PBC,0.0,POLFED,0.0515524827722801,0.0,343,1
14,0.41397,0.41397,PBC,0.0,POLFED,4.240030611559208,0.0,343,1
14,0.17159,0.49476,PBC,0.0,POLFED,2.522163378381049,0.0,343,1
14,0.21199,0.13119,PBC,0.0,POLFED,1.6526276306692864,0.0,343,1
14,0.69675,0.37357,PBC,0.0,POLFED,4.18139824091191,0.0,343,1
14,0.37357,0.49476,PBC,0.0,POLFED,4.228484567054999,0.0,343,1
14,0.65635,0.53516,PBC,0.0,POLFED,4.223343798638931,0.0,343,1
14,0.61596,0.17159,PBC,0.0,POLFED,4.23551689708423,0.0,343,1
14,0.09079,0.21199,PBC,0.0,POLFED,0.5191599362931231,0.0,343,1
14,0.33318,0.37357,PBC,0.0,POLFED,4.176352773212391,0.0,343,1
14,0.65635,0.25238,PBC,0.0,POLFED,4.24267689414553,0.0,343,1
14,0.0504,0.65635,PBC,0.0,POLFED,0.122761667128825,0.0,343,1
14,0.33318,0.13119,PBC,0.0,POLFED,3.5251364811626806,0.0,343,1
14,0.41397,0.61596,PBC,0.0,POLFED,4.2507374234521125,0.0,343,1
14,0.17159,0.01,PBC,0.0,POLFED,1.0290432157799874,0.0,343,1
14,0.17159,0.73715,PBC,0.0,POLFED,2.7010980695066813,0.0,343,1
14,0.21199,0.37357,PBC,0.0,POLFED,3.101885961934511,0.0,343,1
14,0.69675,0.13119,PBC,0.0,POLFED,3.874943817543109,0.0,343,1
14,0.0504,0.29278,PBC,0.0,POLFED,0.1272932098993512,0.0,343,1
14,0.33318,0.0504,PBC,0.0,POLFED,2.028637388879483,0.0,343,1
14,0.0504,0.77754,PBC,0.0,POLFED,0.1182130594565231,0.0,343,1
14,0.37357,0.73715,PBC,0.0,POLFED,4.2341333876798615,0.0,343,1
14,0.65635,0.69675,PBC,0.0,POLFED,4.2579450161301935,0.0,343,1
14,0.57556,0.33318,PBC,0.0,POLFED,4.261408742553823,0.0,343,1
14,0.0504,0.45437,PBC,0.0,POLFED,0.1090413445226868,0.0,343,1
14,0.01,0.13119,PBC,0.0,POLFED,0.0079504721501767,0.0,343,1
14,0.09079,0.01,PBC,0.0,POLFED,0.5946589329361307,0.0,343,1
14,0.61596,0.0504,PBC,0.0,POLFED,3.587137799812897,0.0,343,1
14,0.49476,0.77754,PBC,0.0,POLFED,4.263963892099109,0.0,343,1
14,0.49476,0.29278,PBC,0.0,POLFED,4.253401414051253,0.0,343,1
14,0.01,0.61596,PBC,0.0,POLFED,0.0065391417992141,0.0,343,1
14,0.69675,0.61596,PBC,0.0,POLFED,4.233888284954257,0.0,343,1
14,0.53516,0.49476,PBC,0.0,POLFED,4.263745868291009,0.0,343,1
14,0.21199,0.41397,PBC,0.0,POLFED,3.173760563585424,0.0,343,1
